iter	Passed	Remaining
0	170	76369
1	175	39384
2	195	29056
3	203	22670
4	221	19735
5	239	17717
6	254	16092
7	272	15056
8	290	14255
9	309	13621
10	318	12725
11	337	12333
12	343	11544
13	361	11255
14	379	11004
15	397	10781
16	416	10596
17	434	10421
18	452	10272
19	472	10158
20	489	10002
21	507	9874
22	525	9758
23	544	9665
24	563	9581
25	581	9485
26	598	9381
27	616	9294
28	634	9209
29	652	9133
30	670	9060
31	688	8998
32	697	8812
33	714	8746
34	732	8679
35	749	8623
36	767	8566
37	785	8515
38	802	8458
39	810	8306
40	818	8166
41	836	8127
42	855	8096
43	874	8066
44	891	8025
45	909	7991
46	928	7961
47	946	7923
48	960	7859
49	977	7817
50	993	7775
51	1001	7668
52	1019	7640
53	1038	7613
54	1056	7588
55	1068	7518
56	1087	7494
57	1105	7472
58	1124	7449
59	1135	7381
60	1154	7359
61	1170	7325
62	1188	7297
63	1207	7284
64	1224	7255
65	1242	7229
66	1259	7202
67	1278	7179
68	1295	7155
69	1313	7131
70	1331	7106
71	1349	7086
72	1367	7062
73	1385	7039
74	1402	7014
75	1421	6996
76	1440	6977
77	1451	6923
78	1469	6900
79	1488	6884
80	1506	6862
81	1517	6810
82	1535	6790
83	1552	6765
84	1560	6702
85	1580	6690
86	1599	6675
87	1618	6656
88	1636	6636
89	1654	6616
90	1671	6592
91	1689	6573
92	1707	6554
93	1725	6536
94	1743	6516
95	1761	6495
96	1779	6476
97	1797	6455
98	1815	6436
99	1833	6415
100	1851	6397
101	1869	6379
102	1887	6358
103	1906	6341
104	1923	6321
105	1941	6301
106	1958	6279
107	1975	6257
108	1993	6235
109	2010	6215
110	2028	6196
111	2046	6176
112	2064	6155
113	2081	6135
114	2099	6115
115	2117	6097
116	2136	6079
117	2153	6060
118	2171	6040
119	2188	6019
120	2206	5999
121	2224	5980
122	2242	5961
123	2259	5941
124	2278	5924
125	2297	5907
126	2316	5890
127	2334	5873
128	2352	5853
129	2370	5833
130	2388	5815
131	2406	5797
132	2424	5779
133	2442	5760
134	2460	5740
135	2478	5721
136	2495	5701
137	2513	5682
138	2531	5663
139	2549	5644
140	2568	5628
141	2586	5610
142	2606	5594
143	2624	5577
144	2642	5558
145	2660	5540
146	2677	5519
147	2696	5501
148	2714	5483
149	2732	5465
150	2748	5443
151	2766	5423
152	2783	5403
153	2800	5382
154	2818	5364
155	2836	5345
156	2855	5328
157	2873	5310
158	2891	5292
159	2909	5274
160	2928	5255
161	2946	5237
162	2963	5218
163	2981	5199
164	2999	5180
